query_id	query	rank	doc_id	score	passage_preview	start_line
2	English Grammar	1	14006	54.6229	﻿The Project Gutenberg eBook of An English Grammar	1
2	English Grammar	2	11615	49.7501	﻿The Project Gutenberg eBook of The Grammar of English Grammars	1
2	English Grammar	3	15097	49.5905	﻿The Project Gutenberg eBook of A Grammar of the English Tongue	1
2	English Grammar	4	45814	45.3457	﻿The Project Gutenberg eBook of An Advanced English Grammar with Exercises	1
2	English Grammar	5	62064	42.8216	﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton	1
2	English Grammar	6	7188	42.3333	﻿The Project Gutenberg eBook of Higher Lessons in English: A work on English grammar and composition	1
2	English Grammar	7	48702	41.6033	﻿The Project Gutenberg eBook of English Grammar and Composition for Public Schools	1
2	English Grammar	8	44802	40.3816	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
2	English Grammar	9	43397	40.3769	﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue	1
2	English Grammar	10	17594	39.3282	﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar	1
2	English Grammar	11	50595	35.3662	﻿The Project Gutenberg eBook of Bohemian Grammar	1
2	English Grammar	12	69207	35.3124	﻿The Project Gutenberg eBook of Tibetan Grammar	1
2	English Grammar	13	59795	35.2028	﻿The Project Gutenberg eBook of A Finnish Grammar	1
2	English Grammar	14	45023	35.1219	﻿The Project Gutenberg eBook of The Pictorial Grammar	1
2	English Grammar	15	36882	34.0650	﻿The Project Gutenberg eBook of A Grammar of Freethought	1
2	English Grammar	16	26991	32.9014	﻿The Project Gutenberg eBook of A Short System of English Grammar	1
2	English Grammar	17	30036	32.7808	﻿The Project Gutenberg eBook of Word Study and English Grammar	1
2	English Grammar	18	28766	32.5810	﻿The Project Gutenberg eBook of Elements of Gaelic Grammar	1
2	English Grammar	19	22577	32.4316	﻿The Project Gutenberg eBook of Practical Grammar and Composition	1
2	English Grammar	20	15665	31.8818	﻿The Project Gutenberg eBook of New Latin Grammar	1
2	English Grammar	21	7787	31.6624	﻿The Project Gutenberg eBook of A Complete Grammar of Esperanto	1
2	English Grammar	22	12358	31.0578	Author: Society for Pure English	14
2	English Grammar	23	7010	29.9579	﻿The Project Gutenberg eBook of Graded Lessons in English	1
2	English Grammar	24	44653	29.1429	﻿The Project Gutenberg eBook of A Latin Grammar for Schools and Colleges	1
2	English Grammar	25	28415	28.3949	﻿The Project Gutenberg eBook of History Plays for the Grammar Grades	1
2	English Grammar	26	50336	27.6559	﻿The Project Gutenberg eBook of A Gothic Grammar, with selections for reading and a glossary	1
2	English Grammar	27	5424	27.3949	﻿The Project Gutenberg eBook of Icelandic Primer with Grammar, Notes and Glossary	1
2	English Grammar	28	34022	27.2854	﻿The Project Gutenberg eBook of An Essay in Aid of a Grammar of Assent	1
2	English Grammar	29	12735	26.9320	﻿The Project Gutenberg eBook of The Grammar School Boys in Summer Athletics	1
2	English Grammar	30	66712	26.8777	﻿The Project Gutenberg eBook of Grammar-land; Or, Grammar in Fun for the Children of Schoolroom-shire	1
2	English Grammar	31	42026	26.7162	﻿The Project Gutenberg eBook of English-Bisaya Grammar, in Twenty Eight Lessons	1
2	English Grammar	32	21197	26.0474	﻿The Project Gutenberg eBook of Diego Collado's Grammar of the Japanese Language	1
2	English Grammar	33	62128	26.0144	﻿The Project Gutenberg eBook of A Grammar of Colloquial Chinese, as Exhibited in the Shanghai Dialect	1
2	English Grammar	34	35815	25.9680	﻿The Project Gutenberg eBook of The International Auxiliary Language Esperanto: Grammar & Commentary	1
2	English Grammar	35	12524	25.9655	﻿The Project Gutenberg eBook of The Englishing of French Words; the Dialectal Words in Blunden's Poems	1
2	English Grammar	36	44897	25.8706	﻿The Project Gutenberg eBook of Grammar of the New Zealand language (2nd edition)	1
2	English Grammar	37	5762	25.5516	﻿The Project Gutenberg eBook of Grammar and Vocabulary of the Lau Language, Solomon Islands	1
2	English Grammar	38	34595	24.3624	﻿The Project Gutenberg eBook of The English Language	1
2	English Grammar	39	15127	24.1552	﻿The Project Gutenberg eBook of Pitman's Commercial Spanish Grammar (2nd ed.)	1
2	English Grammar	40	40550	23.9867	﻿The Project Gutenberg eBook of Plain English	1
2	English Grammar	41	16737	23.4769	Language: English	19
2	English Grammar	42	29456	23.4013	﻿The Project Gutenberg eBook of The Comic Latin Grammar: A new and facetious introduction to the Latin tongue	1
2	English Grammar	43	49832	23.3891	﻿The Project Gutenberg eBook of English Monasteries	1
2	English Grammar	44	34316	23.2339	﻿The Project Gutenberg eBook of Anglo-Saxon Primer, With Grammar, Notes, and Glossary	1
2	English Grammar	45	41016	23.1973	﻿The Project Gutenberg eBook of The Land of Song, Book 3. For upper grammar grades	1
2	English Grammar	46	38880	23.1967	﻿The Project Gutenberg eBook of The Land of Song, Book 2. For lower grammar grades	1
2	English Grammar	47	6963	23.1398	﻿The Project Gutenberg eBook of Elson Grammar School Literature, book 4	1
2	English Grammar	48	69603	23.1291	﻿The Project Gutenberg eBook of Bisayan grammar and notes on Bisayan rhetoric and poetics and Filipino dialectology	1
2	English Grammar	49	57664	23.0096	﻿The Project Gutenberg eBook of The English Lakes	1
2	English Grammar	50	19807	22.8936	﻿The Project Gutenberg eBook of Sketch of Grammar of the Chippeway Languages	1
2	English Grammar	51	14070	22.7997	﻿The Project Gutenberg eBook of English Grammar in Familiar Lectures	1
2	English Grammar	52	42139	22.7766	﻿The Project Gutenberg eBook of The English Lakes	1
2	English Grammar	53	22129	22.6333	Author: Douglas English	14
2	English Grammar	54	20789	22.3240	﻿The Project Gutenberg eBook of The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports	1
2	English Grammar	55	28436	22.2996	﻿The Project Gutenberg eBook of A Handbook of the English Language	1
2	English Grammar	56	11694	22.1526	﻿The Project Gutenberg eBook of The evolution of English lexicography	1
2	English Grammar	57	44289	22.1328	﻿The Project Gutenberg eBook of An Outline of English Speech-craft	1
2	English Grammar	58	34251	22.0737	﻿The Project Gutenberg eBook of English As We Speak It in Ireland	1
2	English Grammar	59	23186	22.0189	﻿The Project Gutenberg eBook of The Handbook to English Heraldry	1
2	English Grammar	60	31277	21.9812	﻿The Project Gutenberg eBook of Anglo-Saxon Grammar and Exercise Book	1
2	English Grammar	61	71332	21.9254	﻿The Project Gutenberg eBook of History in English words	1
2	English Grammar	62	12421	21.8457	﻿The Project Gutenberg eBook of Practical Exercises in English	1
2	English Grammar	63	20900	21.8384	﻿The Project Gutenberg eBook of English Past and Present	1
2	English Grammar	64	25000	21.8276	﻿The Project Gutenberg eBook of English Book Collectors	1
2	English Grammar	65	28097	21.6518	﻿The Project Gutenberg eBook of English: Composition and Literature	1
2	English Grammar	66	14227	21.5844	﻿The Project Gutenberg eBook of On English Homophones	1
2	English Grammar	67	6320	21.2743	﻿The Project Gutenberg eBook of English literary criticism	1
2	English Grammar	68	22307	21.2105	﻿The Project Gutenberg eBook of The Grammar School Boys of Gridley; or, Dick & Co. Start Things Moving	1
2	English Grammar	69	29214	21.1935	﻿The Project Gutenberg eBook of Dialogues in French and English	1
2	English Grammar	70	16358	21.1099	﻿The Project Gutenberg eBook of The English Gipsies and Their Language	1
2	English Grammar	71	69236	20.9370	﻿The Project Gutenberg eBook of The high school course in English	1
2	English Grammar	72	45367	20.8932	﻿The Project Gutenberg eBook of Our English Towns and Villages	1
2	English Grammar	73	37342	20.8892	﻿The Project Gutenberg eBook of Medieval English Literature	1
2	English Grammar	74	13403	20.8204	﻿The Project Gutenberg eBook of English Travellers of the Renaissance	1
2	English Grammar	75	67503	20.6989	﻿The Project Gutenberg eBook of Parts of Speech: Essays on English	1
2	English Grammar	76	47714	20.6968	﻿The Project Gutenberg eBook of English Heraldic Book-stamps	1
2	English Grammar	77	50439	20.6957	﻿The Project Gutenberg eBook of English Eccentrics and Eccentricities	1
2	English Grammar	78	62265	20.6183	﻿The Project Gutenberg eBook of A First Book in Writing English	1
2	English Grammar	79	55097	20.5480	Author: Douglas English	14
2	English Grammar	80	24790	20.5051	﻿The Project Gutenberg eBook of Early English Meals and Manners	1
2	English Grammar	81	67953	20.3755	﻿The Project Gutenberg eBook of Questions at Issue in Our English Speech	1
2	English Grammar	82	47382	20.3586	﻿The Project Gutenberg eBook of The Sounds of Spoken English: A Manual of Ear Training for English Students	1
2	English Grammar	83	2040	20.3053	﻿The Project Gutenberg eBook of Confessions of an English Opium-Eater	1
2	English Grammar	84	46648	20.2735	﻿The Project Gutenberg eBook of An Old English Home and Its Dependencies	1
2	English Grammar	85	56453	20.1825	﻿The Project Gutenberg eBook of The Egregious English	1
2	English Grammar	86	39862	20.1793	﻿The Project Gutenberg eBook of English Traits	1
2	English Grammar	87	58938	20.1741	﻿The Project Gutenberg eBook of English Hours	1
2	English Grammar	88	4351	20.1728	﻿The Project Gutenberg eBook of The English Constitution	1
2	English Grammar	89	41448	20.1696	﻿The Project Gutenberg eBook of The Oppressed English	1
2	English Grammar	90	14469	20.1694	﻿The Project Gutenberg eBook of The English Novel	1
2	English Grammar	91	9197	20.1675	﻿The Project Gutenberg eBook of English Villages	1
2	English Grammar	92	43148	20.1468	﻿The Project Gutenberg eBook of An English Squire	1
2	English Grammar	93	16126	20.1466	﻿The Project Gutenberg eBook of English Satires	1
2	English Grammar	94	67874	20.1441	﻿The Project Gutenberg eBook of Some English Gardens	1
2	English Grammar	95	33020	20.1326	﻿The Project Gutenberg eBook of English Costume	1
2	English Grammar	96	10913	20.1206	﻿The Project Gutenberg eBook of English Poems	1
2	English Grammar	97	37091	20.1176	﻿The Project Gutenberg eBook of A Song of the English	1
2	English Grammar	98	37072	20.0948	﻿The Project Gutenberg eBook of A Brief Handbook of English Authors	1
2	English Grammar	99	38111	20.0803	﻿The Project Gutenberg eBook of English Society	1
2	English Grammar	100	5430	20.0800	﻿The Project Gutenberg eBook of Preface to a Dictionary of the English Language	1
3	Philip K Dick	1	44995	47.5807	﻿The Project Gutenberg eBook of Dick & Fitzgerald Catalog (1866)	1
3	Philip K Dick	2	28554	46.7634	﻿The Project Gutenberg eBook of Beyond Lies the Wub	1
3	Philip K Dick	3	28698	46.5142	﻿The Project Gutenberg eBook of The Crystal Crypt	1
3	Philip K Dick	4	28767	46.4502	﻿The Project Gutenberg eBook of The Defenders	1
3	Philip K Dick	5	28644	46.1915	﻿The Project Gutenberg eBook of Beyond the Door	1
3	Philip K Dick	6	31516	45.8134	﻿The Project Gutenberg eBook of The Eyes Have It	1
3	Philip K Dick	7	40964	45.5188	﻿The Project Gutenberg eBook of Tony and the Beetles	1
3	Philip K Dick	8	29132	45.5140	﻿The Project Gutenberg eBook of The Gun	1
3	Philip K Dick	9	41562	45.4836	﻿The Project Gutenberg eBook of The Hanging Stranger	1
3	Philip K Dick	10	70242	45.3595	﻿The Project Gutenberg eBook of Prize ship	1
3	Philip K Dick	11	30255	45.2967	﻿The Project Gutenberg eBook of The Skull	1
3	Philip K Dick	12	32032	44.8139	﻿The Project Gutenberg eBook of Second Variety	1
3	Philip K Dick	13	32154	44.2850	﻿The Project Gutenberg eBook of The Variable Man	1
3	Philip K Dick	14	9931	43.6274	﻿The Project Gutenberg eBook of K	1
3	Philip K Dick	15	32522	43.3396	﻿The Project Gutenberg eBook of Mr. Spaceship	1
3	Philip K Dick	16	48440	42.9794	﻿The Project Gutenberg eBook of The Plays of Philip Massinger, Vol. I	1
3	Philip K Dick	17	32832	42.1828	﻿The Project Gutenberg eBook of Piper in the Woods	1
3	Philip K Dick	18	30431	40.9966	﻿The Project Gutenberg eBook of Calumet 'K'	1
3	Philip K Dick	19	18154	40.9405	"﻿The Project Gutenberg eBook of Calumet ""K"""	1
3	Philip K Dick	20	56208	38.7854	﻿The Project Gutenberg eBook of Philip Hale's Boston Symphony Programme Notes	1
3	Philip K Dick	21	12302	37.6228	﻿The Project Gutenberg eBook of All in It : K(1) Carries On	1
3	Philip K Dick	22	35365	36.8694	﻿The Project Gutenberg eBook of Philip Massinger	1
3	Philip K Dick	23	39909	36.0415	﻿The Project Gutenberg eBook of The Poems of Philip Freneau, Poet of the American Revolution. Volume 3 (of 3)	1
3	Philip K Dick	24	38475	35.9707	﻿The Project Gutenberg eBook of The Poems of Philip Freneau, Poet of the American Revolution. Volume 1 (of 3)	1
3	Philip K Dick	25	38529	35.7669	﻿The Project Gutenberg eBook of The Poems of Philip Freneau, Poet of the American Revolution. Volume 2 (of 3)	1
3	Philip K Dick	26	21382	35.3774	﻿The Project Gutenberg eBook of Son Philip	1
3	Philip K Dick	27	44693	34.7649	﻿The Project Gutenberg eBook of The Adventure Girls at K Bar O	1
3	Philip K Dick	28	55161	33.6939	﻿The Project Gutenberg eBook of The Madness of Philip, and Other Tales of Childhood	1
3	Philip K Dick	29	13168	33.5223	﻿The Project Gutenberg eBook of Dick in the Everglades	1
3	Philip K Dick	30	53166	33.5185	﻿The Project Gutenberg eBook of Dick and Dolly	1
3	Philip K Dick	31	19554	33.5148	﻿The Project Gutenberg eBook of Dick Lionheart	1
3	Philip K Dick	32	31556	33.5129	﻿The Project Gutenberg eBook of Dick in the Desert	1
3	Philip K Dick	33	16969	33.5089	﻿The Project Gutenberg eBook of Dick and Brownie	1
3	Philip K Dick	34	62304	33.5026	﻿The Project Gutenberg eBook of Black'erchief Dick	1
3	Philip K Dick	35	60776	32.2072	﻿The Project Gutenberg eBook of The Transformation of Philip Jettan	1
3	Philip K Dick	36	50261	32.2064	﻿The Project Gutenberg eBook of Philip II. of Spain	1
3	Philip K Dick	37	18171	32.2049	﻿The Project Gutenberg eBook of The Crucifixion of Philip Strong	1
3	Philip K Dick	38	40044	32.1816	﻿The Project Gutenberg eBook of Journal and Letters of Philip Vickers Fithian: A Plantation Tutor of the Old Dominion, 1773-1774	1
3	Philip K Dick	39	39734	32.1439	﻿The Project Gutenberg eBook of The Life of Philip Melanchthon	1
3	Philip K Dick	40	32635	31.9157	﻿The Project Gutenberg eBook of The Diary of Philip Westerly	1
3	Philip K Dick	41	2489	31.1145	﻿The Project Gutenberg eBook of Moby Dick; Or, The Whale	1
3	Philip K Dick	42	2701	31.1065	﻿The Project Gutenberg eBook of Moby Dick; Or, The Whale	1
3	Philip K Dick	43	50816	30.5995	﻿The Project Gutenberg eBook of Dick Kent with the Eskimos	1
3	Philip K Dick	44	48226	30.5988	﻿The Project Gutenberg eBook of Dick Donnelly of the Paratroops	1
3	Philip K Dick	45	56714	30.5984	﻿The Project Gutenberg eBook of Dick Lester of Kurrajong	1
3	Philip K Dick	46	54747	30.5983	﻿The Project Gutenberg eBook of Tom, Dick and Harriet	1
3	Philip K Dick	47	20119	30.5960	﻿The Project Gutenberg eBook of Ambrotox and Limping Dick	1
3	Philip K Dick	48	63499	30.5906	﻿The Project Gutenberg eBook of Dick and Larry: Freshmen	1
3	Philip K Dick	49	72111	30.5892	﻿The Project Gutenberg eBook of Dick's retriever	1
3	Philip K Dick	50	28351	30.5695	﻿The Project Gutenberg eBook of Dick and His Cat, and Other Tales	1
3	Philip K Dick	51	57476	29.6023	﻿The Project Gutenberg eBook of Philip: The Story of a Boy Violinist	1
3	Philip K Dick	52	57203	29.5985	﻿The Project Gutenberg eBook of Left to Themselves: Being the Ordeal of Philip and Gerald	1
3	Philip K Dick	53	50462	29.5790	﻿The Project Gutenberg eBook of Philip Augustus; or, The Brothers in Arms	1
3	Philip K Dick	54	29494	29.5768	﻿The Project Gutenberg eBook of King Philip	1
3	Philip K Dick	55	20992	29.5149	﻿The Project Gutenberg eBook of Tom, Dick and Harry	1
3	Philip K Dick	56	9150	29.4265	﻿The Project Gutenberg eBook of Dick Sands, the Boy Captain	1
3	Philip K Dick	57	12051	29.3265	﻿The Project Gutenberg eBook of Dick Sand: A Captain at Fifteen	1
3	Philip K Dick	58	53133	28.9370	﻿The Project Gutenberg eBook of The High Toby	1
3	Philip K Dick	59	50125	28.5505	﻿The Project Gutenberg eBook of The Court of Philip IV.: Spain in Decadence	1
3	Philip K Dick	60	50431	28.2185	﻿The Project Gutenberg eBook of Dick Kent with the Mounted Police	1
3	Philip K Dick	61	50505	28.2172	﻿The Project Gutenberg eBook of Dick Kent in the Far North	1
3	Philip K Dick	62	51848	28.2154	﻿The Project Gutenberg eBook of Dick Kent at Half-Way House	1
3	Philip K Dick	63	32537	28.2147	﻿The Project Gutenberg eBook of The Newsboy Partners; Or, Who Was Dick Box?	1
3	Philip K Dick	64	52207	28.2143	﻿The Project Gutenberg eBook of Dick Kent, Fur Trader	1
3	Philip K Dick	65	52385	28.2138	﻿The Project Gutenberg eBook of Dick Kent with the Malemute Mail	1
3	Philip K Dick	66	50275	28.2103	﻿The Project Gutenberg eBook of Dick Kent on Special Duty	1
3	Philip K Dick	67	38471	28.2069	﻿The Project Gutenberg eBook of Dick Randall, the Young Athlete	1
3	Philip K Dick	68	21455	28.0554	﻿The Project Gutenberg eBook of Dick Cheveley: His Adventures and Misadventures	1
3	Philip K Dick	69	21459	27.9677	﻿The Project Gutenberg eBook of Dick Onslow Among the Redskins	1
3	Philip K Dick	70	63820	27.7750	﻿The Project Gutenberg eBook of Company K, First Alabama Regiment; or, Three Years in the Confederate Service	1
3	Philip K Dick	71	21059	27.6880	﻿The Project Gutenberg eBook of The Adventures of Dick Maitland: A Tale of Unknown Africa	1
3	Philip K Dick	72	664	27.4470	﻿The Project Gutenberg eBook of The Gutenberg Webster's Unabridged Dictionary: Section I, J, K, and L	1
3	Philip K Dick	73	65080	27.1096	﻿The Project Gutenberg eBook of Dick Rodney; or, The Adventures of an Eton Boy	1
3	Philip K Dick	74	45626	26.8772	﻿The Project Gutenberg eBook of History of Company K of the 140th Regiment Pennsylvania Volunteers (1862-'65)	1
3	Philip K Dick	75	62411	26.5241	﻿The Project Gutenberg eBook of Dick Merriwell's Glory; Or, Friends and Foes	1
3	Philip K Dick	76	12877	26.4386	"﻿The Project Gutenberg eBook of The First Hundred Thousand: Being the Unofficial Chronicle of a Unit of ""K(1)"""	1
3	Philip K Dick	77	23541	26.4132	﻿The Project Gutenberg eBook of Dick, Marjorie and Fidge: A Search for the Wonderful Dodo	1
3	Philip K Dick	78	18981	26.2310	﻿The Project Gutenberg eBook of Dick the Bank Boy; Or, A Missing Fortune	1
3	Philip K Dick	79	71493	26.2157	﻿The Project Gutenberg eBook of Diligent Dick	1
3	Philip K Dick	80	40700	26.1375	﻿The Project Gutenberg eBook of Dandy Dick: A Play in Three Acts	1
3	Philip K Dick	81	4633	25.6112	﻿The Project Gutenberg eBook of Philip Steele of the Royal Northwest Mounted Police	1
3	Philip K Dick	82	28616	25.6003	﻿The Project Gutenberg eBook of Penshurst Castle in the Time of Sir Philip Sidney	1
3	Philip K Dick	83	6711	25.5891	﻿The Project Gutenberg eBook of Philip Dru: Administrator; A Story of Tomorrow, 1920-1935	1
3	Philip K Dick	84	48571	25.1880	﻿The Project Gutenberg eBook of Philip of Texas: A Story of Sheep Raising in Texas	1
3	Philip K Dick	85	21306	24.5626	﻿The Project Gutenberg eBook of Dick o' the Fens: A Tale of the Great East Swamp	1
3	Philip K Dick	86	41866	24.5606	﻿The Project Gutenberg eBook of Dick Merriwell's Trap; Or, The Chap Who Bungled	1
3	Philip K Dick	87	41827	24.5535	﻿The Project Gutenberg eBook of Dick Merriwell Abroad; Or, The Ban of the Terrible Ten	1
3	Philip K Dick	88	61174	24.5502	﻿The Project Gutenberg eBook of Dick Merriwell's Day; Or, Iron Nerve	1
3	Philip K Dick	89	21399	24.5289	﻿The Project Gutenberg eBook of Dick and His Cat	1
3	Philip K Dick	90	47012	24.4494	﻿The Project Gutenberg eBook of Dick Darling's Money; or, The Rise of an Office Boy; and Other Stories	1
3	Philip K Dick	91	28951	24.2302	﻿The Project Gutenberg eBook of Frontier service during the rebellion	1
3	Philip K Dick	92	57470	24.0472	﻿The Project Gutenberg eBook of Captured by Apes; or, How Philip Garland Became King of Apeland	1
3	Philip K Dick	93	54484	24.0393	﻿The Project Gutenberg eBook of Cardinal Pole; Or, The Days of Philip and Mary: An Historical Romance	1
3	Philip K Dick	94	64669	23.8859	﻿The Project Gutenberg eBook of Philip Rollo; or, the Scottish Musketeers, Vol. 1 (of 2)	1
3	Philip K Dick	95	64670	23.7355	﻿The Project Gutenberg eBook of Philip Rollo; or, the Scottish Musketeers, Vol. 2 (of 2)	1
3	Philip K Dick	96	5348	23.1345	﻿The Project Gutenberg eBook of Ragged Dick, Or, Street Life in New York with the Boot-Blacks	1
3	Philip K Dick	97	2065	23.1309	﻿The Project Gutenberg eBook of Dick Hamilton's Airship; Or, A Young Millionaire in the Clouds	1
3	Philip K Dick	98	12690	23.1277	﻿The Project Gutenberg eBook of The High School Pitcher; or, Dick & Co. on the Gridley Diamond	1
3	Philip K Dick	99	41879	23.1261	﻿The Project Gutenberg eBook of Dick Merriwell's Pranks; Or, Lively Times in the Orient	1
3	Philip K Dick	100	39800	23.1246	﻿The Project Gutenberg eBook of The Adventures of Dick Trevanion: A Story of Eighteen Hundred and Four	1
4	Jabberwocky	1	9380	16.2853	JABBERWOCKY                            Lewis Carroll	59
4	Jabberwocky	2	35418	15.5841	"and if the story had no other merit, ""The Jabberwocky"" alone would have"	3593
